회차,선수거리,선수 각도,높이,슛 각도,방향,입사각도,초기속도,골 여부,점수
1,4.3,91,2,65,2,88,6,O,2
2,4.3,95,2,65,-2,87.3,6,X,0
3,4.2,96,2,54,6,60.8,6,O,2
4,4.2,96,2,58,6,76.9,6,O,2
5,4.4,96,2,58,6,74,6,O,2
6,4.4,95,2,60,12,43.3,6,O,2
7,4.6,86,2,45,5,86.1,6,X,0
8,4.6,86,2,42,-7,5.1,6,X,0
9,4.6,86,2,59,-6,74.4,6,X,0
10,3.9,87,2,59,-7,47.4,6,O,2
11,4.1,87,2,72,-9,82.9,6,X,0
12,4,87,2,72,-9,79.6,6,O,2
13,3.4,68,2,38,-13,0,6,X,0
14,3.4,68,2,53,-29,0,6,X,0
15,3.4,68,2,49,-15,61.3,6,O,2
16,3.4,68,2,57,-27,0,6,X,0
17,3.8,117,2,47,33,70.9,6,O,2
18,3.8,117,2,64,46,48.7,6,X,0
19,3.7,115,2,64,47,46.2,6,X,0
20,3.4,114,2,64,41,45,6,X,0
