회차	선수거리	선수 각도	높이	슛 각도	방향	입사각도	초기속도	골 여부	점수	누적 점수
1	4.5	94	2	66	3	85.4	6	O	2	2
2	4.5	94	2	67	3	85.7	6	O	2	4
3	4.5	94	2	68	3	86	6	O	2	6
4	4.5	94	2	69	3	85.8	6	O	2	8
5	4.5	94	2	70	3	76.7	6	O	2	10
6	4.5	94	2	66	4	84.8	6	O	2	12
7	4.5	94	2	67	4	85.1	6	O	2	14
8	4.5	94	2	68	4	85.5	6	O	2	16
9	4.5	94	2	69	4	85.3	6	O	2	18
10	4.5	94	2	70	4	86.6	6	O	2	20
11	4.5	94	2	66	5	84.2	6	O	2	22
12	4.5	94	2	67	5	84.5	6	O	2	24
13	4.5	94	2	68	5	85	6	O	2	26
14	4.5	94	2	69	5	84.4	6	O	2	28
15	4.5	94	2	70	5	88	6	O	2	30
16	4.5	94	2	66	6	83.6	6	O	2	32
17	4.5	94	2	67	6	84	6	O	2	34
18	4.5	94	2	68	6	84.4	6	O	2	36
19	4.5	94	2	69	6	86.9	6	O	2	38
20	4.5	94	2	70	6	81.6	6	O	2	40
