회차,선수거리,선수각도,높이,슛각도,방향,입사각도,초기속도,골 여부,점수
1,5.8,89,2,53,-1,87.4,7,O,1
2,4.1,90,2,77,-2,89.3,7,O,2
3,4,112,2,75,34,71.7,7,X,0
4,4,113,2,75,34,71.7,7,X,0
5,4.1,116,2,75,30,71.7,7,X,0
6,3.8,65,2,75,-31,75.2,7,O,2
7,3.9,115,2,75,36,71.7,7,X,0
8,4,114,2,75,37,70.8,7,X,0
9,4,114,2,75,24,73.5,7,X,0
10,4,114,2,75,24,73.5,7,X,0
11,4.2,109,2,75,29,73.5,7,X,0
12,4.1,110,2,75,28,75.3,7,O,2
13,4.3,78,2,75,-6,83,7,X,0
14,3.8,119,2,75,28,0,19,X,0
15,4.7,79,2,30,-13,-23.4,7,X,0
16,4.7,79,2,36,-13,1.2,7,X,0
17,4.7,79,2,35,-13,-21.6,7,X,0
18,3.7,85,2,38,-27,0,7,X,0
19,5.7,85,2,60,-28,0,7,X,0
20,3.8,118,2,60,21,0,7,X,0
