회차,선수거리,선수각도,높이,슛각도,방향,입사각도,초기속도,골 여부,점수
1,5.1,90,2,68,0,90,7,O,2
2,6,90,2,68,0,90,8,O,1
3,6.4,90,2,71,0,90,9,O,1
4,6.4,90,1.2,42,0,0,9,X,0
5,6.4,90,1.2,51,0,0,9,X,0
6,4,90,1.2,51,0,0,9,X,0
7,4,90,1.2,52,-35,0,9,X,0
8,6.7,90,1.2,71,-35,0,9,X,0
9,6.7,90,1.2,71,-9,0,10,X,0
10,6.7,90,1.2,72,0,0,10,X,0
11,6.7,90,1.2,72,0,0,11,X,0
12,6.7,90,1.2,73,0,0,11,X,0
13,6.7,90,1.2,73,0,0,12,X,0
14,6.7,90,1.2,74,0,0,12,X,0
15,6.7,90,1.2,74,0,0,13,X,0
16,6.7,90,1.2,75,0,0,13,X,0
17,6.7,90,1.2,75,0,0,14,X,0
18,6.7,90,1.2,76,0,0,14,X,0
19,6.7,90,1.2,76,0,0,15,X,0
20,6.7,90,1.2,77,0,0,15,X,0
